emotion,sentiment,subjectivity,orientation,chapter,paragraph,sentence
0,1,0,-1,1,1,0
0,1,0,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,0,1,1,1,0
-1,0,-1,-1,1,1,0
-1,1,-1,-1,1,1,0
-1,1,-1,-1,1,1,0
-1,0,-1,-1,1,1,0
3,-1,-1,-1,1,1,0
1,1,0,-1,1,1,0
0,1,0,-1,1,1,0
0,1,0,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,-1,-1,1,1,0
-1,0,-1,-1,1,1,1
3,-1,-1,-1,1,1,1
1,1,0,-1,1,1,1
0,1,0,-1,1,1,1
0,1,0,-1,1,1,1
-1,1,1,-1,1,1,1
-1,1,1,-1,1,1,1
-1,1,0,1,1,1,2
-1,0,-1,-1,1,1,2
-1,1,-1,-1,1,1,2
-1,1,-1,-1,1,1,2
-1,0,-1,-1,1,1,2
3,-1,-1,-1,1,1,2
1,1,0,-1,1,1,2
0,1,0,-1,1,1,2
0,1,0,-1,1,1,2
-1,1,1,-1,1,1,2
-1,1,-1,-1,1,1,2
-1,1,1,-1,1,1,2
-1,1,0,1,1,1,2
-1,0,-1,-1,1,1,2
3,-1,-1,-1,1,1,2
-1,1,-1,-1,1,1,2
-1,1,-1,-1,1,1,2
-1,0,-1,-1,1,1,2
3,-1,-1,-1,1,1,2
1,1,0,-1,1,1,2
0,1,0,-1,1,1,2
0,1,0,-1,1,1,2
-1,1,1,-1,1,1,2
-1,1,1,-1,1,1,2
-1,1,1,-1,1,1,2
-1,1,0,1,1,1,2
-1,0,-1,-1,1,1,2
-1,1,0,1,1,1,2
-1,1,-1,-1,1,1,3
-1,1,-1,-1,1,1,3
-1,0,-1,-1,1,1,3
3,-1,-1,-1,1,1,3
1,1,0,-1,1,1,3
0,1,0,-1,1,1,3
-1,1,-1,-1,1,2,0
-1,1,-1,-1,1,2,0
-1,0,-1,-1,1,2,0
3,-1,-1,-1,1,2,0
1,1,0,-1,1,2,0
0,1,0,-1,1,2,0
0,1,0,-1,1,2,0
-1,1,1,-1,1,2,1
-1,1,1,-1,1,2,1
-1,1,0,1,1,2,1
-1,1,-1,-1,1,2,1
-1,1,-1,-1,1,2,1
-1,0,-1,-1,1,2,1
3,-1,-1,-1,1,2,1
1,1,0,-1,1,2,1
0,1,0,-1,1,2,1
0,1,0,-1,1,2,1
-1,1,1,-1,1,2,1
-1,1,1,-1,1,2,1
-1,1,0,1,1,2,2
-1,1,-1,-1,1,2,2
-1,1,-1,-1,1,2,2
-1,0,-1,-1,1,2,2
3,-1,-1,-1,1,2,2
1,1,0,-1,1,2,2
0,1,0,-1,1,2,2
0,1,0,-1,1,2,2
-1,1,1,-1,1,2,2
-1,1,1,-1,1,2,2
-1,1,1,-1,1,2,2
-1,1,0,1,1,2,2
-1,0,-1,-1,1,2,2
-1,1,-1,-1,1,2,2
-1,1,-1,-1,1,2,2
-1,1,-1,-1,1,2,2
3,-1,-1,-1,1,2,2
1,1,0,-1,1,2,2
0,1,0,-1,1,2,2
0,1,0,-1,1,2,2
-1,1,1,-1,1,2,2
-1,1,1,-1,1,2,2
-1,1,0,1,1,2,3
-1,1,-1,-1,1,2,3
-1,1,-1,-1,1,2,3
-1,0,-1,-1,1,2,3
3,-1,-1,-1,1,2,3
1,1,0,-1,1,2,3
0,1,0,-1,1,2,3
0,1,0,-1,1,2,3
-1,0,-1,-1,1,2,3
-1,1,1,-1,1,2,3
1,1,0,-1,1,2,3
-1,1,-1,-1,1,2,3
-1,1,-1,-1,1,2,3
-1,0,-1,-1,1,2,3
3,-1,-1,-1,1,2,3
1,1,0,-1,1,2,3
0,1,0,-1,1,2,3
0,1,0,-1,1,2,3
-1,1,1,-1,1,2,3
-1,1,1,-1,1,2,3
-1,1,1,-1,1,2,3
-1,1,0,1,1,2,3
-1,0,-1,-1,1,2,3
-1,0,-1,-1,1,2,3
-1,1,-1,-1,1,2,3
-1,1,-1,-1,1,2,3
-1,0,-1,-1,1,2,3
3,-1,-1,-1,1,2,3
1,1,0,-1,1,2,3
0,1,0,-1,1,2,3
0,1,0,-1,1,2,3
-1,1,1,-1,1,2,3
-1,1,1,-1,1,2,3
-1,1,1,-1,1,2,3
-1,0,-1,-1,1,2,4
3,-1,-1,-1,1,2,4
-1,1,-1,-1,1,2,4
-1,1,-1,-1,1,2,4
-1,0,-1,-1,1,2,4
3,-1,-1,-1,1,2,4
1,1,0,-1,1,2,4
0,1,0,-1,1,2,4
0,1,0,-1,1,2,4
-1,1,1,-1,1,2,4
-1,1,1,-1,1,2,4
-1,1,1,-1,1,2,4
-1,1,0,1,1,2,4
-1,0,-1,-1,1,2,4
3,-1,-1,-1,1,2,4
-1,1,-1,-1,1,2,4
-1,1,-1,-1,1,2,4
-1,0,-1,-1,1,2,4
3,-1,-1,-1,1,2,4
1,1,0,-1,1,2,4
-1,0,-1,-1,1,2,4
-1,1,1,-1,1,2,5
-1,1,1,-1,1,2,5
-1,1,1,-1,1,2,5
-1,1,0,1,1,2,5
-1,0,-1,-1,1,2,5
-1,1,-1,-1,1,2,5
-1,1,-1,-1,1,2,5
-1,0,-1,-1,1,2,5
3,-1,-1,-1,1,2,5
1,1,0,-1,1,2,5
0,1,0,-1,1,2,5
0,1,0,-1,1,2,5
-1,1,1,-1,1,2,5
-1,1,-1,-1,1,3,0
-1,1,-1,-1,1,3,0
-1,0,-1,-1,1,3,0
3,-1,-1,-1,1,3,0
1,1,0,-1,1,3,0
0,1,0,-1,1,3,0
0,1,0,-1,1,3,0
-1,1,1,-1,1,3,0
-1,1,1,-1,1,3,0
-1,1,1,-1,1,3,0
-1,1,0,1,1,3,0
-1,0,-1,-1,1,3,0
-1,1,-1,-1,1,3,0
-1,1,-1,-1,1,3,0
-1,0,-1,-1,1,3,0
3,-1,-1,-1,1,3,0
0,1,0,-1,1,3,1
0,1,0,-1,1,3,1
-1,1,1,-1,1,3,1
-1,1,1,-1,1,3,1
-1,1,1,-1,1,3,1
-1,1,0,1,1,3,1
-1,0,-1,-1,1,3,1
-1,1,-1,-1,1,3,1
-1,1,-1,-1,1,3,1
-1,0,-1,-1,1,3,1
3,-1,-1,-1,1,3,1
1,1,0,-1,1,3,1
0,1,0,-1,1,3,1
0,1,0,-1,1,3,1
3,-1,-1,-1,1,3,1
-1,1,1,-1,1,3,1
-1,1,1,-1,1,3,1
-1,0,-1,-1,1,3,1
-1,0,-1,-1,1,3,1
-1,1,-1,-1,1,3,1
-1,1,-1,-1,1,3,1
-1,0,-1,-1,1,3,1
0,1,0,-1,1,3,3
0,1,0,-1,1,3,3
-1,1,1,-1,1,3,3
-1,1,1,-1,1,3,3
-1,1,1,-1,1,3,3
-1,1,0,1,1,3,3
-1,0,-1,-1,1,3,3
3,-1,-1,-1,1,3,3
-1,1,-1,-1,1,3,3
-1,1,-1,-1,1,3,3
-1,0,-1,-1,1,3,3
3,-1,-1,-1,1,3,3
1,1,0,-1,1,3,3
0,1,0,-1,1,3,3
-1,1,1,-1,1,3,4
-1,1,1,-1,1,3,4
-1,1,-1,-1,1,3,4
-1,1,0,1,1,3,4
-1,0,-1,-1,1,3,4
-1,1,-1,-1,1,3,5
-1,0,-1,-1,1,3,5
3,-1,-1,-1,1,3,5
1,1,0,-1,1,3,5
0,1,0,-1,1,3,5
0,1,0,-1,1,3,5
-1,1,1,-1,1,3,5
-1,1,1,-1,1,3,5
-1,1,1,-1,1,3,5
-1,1,-1,-1,1,3,5
-1,1,-1,-1,1,3,5
-1,0,-1,-1,1,3,5
3,-1,-1,-1,1,3,5
-1,1,-1,-1,1,3,5
0,1,0,-1,1,3,6
-1,1,1,-1,1,3,6
-1,1,1,-1,1,3,6
-1,1,1,-1,1,3,6
-1,1,-1,-1,1,3,7
-1,1,-1,-1,1,3,7
-1,0,-1,-1,1,3,7
3,-1,-1,-1,1,3,7
1,1,0,-1,1,3,7
0,1,0,-1,1,3,7
0,1,0,-1,1,3,7
3,-1,-1,-1,1,3,7
-1,1,1,-1,1,3,7
0,1,0,-1,1,3,7
3,-1,-1,-1,1,3,7
-1,0,-1,-1,1,3,7
0,1,0,-1,1,3,7
-1,1,0,1,1,3,7
-1,1,-1,-1,1,3,7
-1,1,-1,-1,1,3,7
-1,0,-1,-1,1,3,7
3,-1,-1,-1,1,3,7
1,1,0,-1,1,3,7
-1,1,-1,-1,1,4,0
-1,0,-1,-1,1,4,1
3,-1,-1,-1,1,4,1
1,1,0,-1,1,4,1
0,1,0,-1,1,4,1
0,1,0,-1,1,4,1
-1,1,1,-1,1,4,1
0,1,0,-1,1,4,1
-1,1,1,-1,1,4,1
-1,1,0,1,1,4,1
-1,0,-1,-1,1,4,1
3,-1,-1,-1,1,4,1
1,1,-1,-1,1,4,2
-1,1,-1,-1,1,4,2
-1,1,-1,-1,1,4,2
-1,0,-1,-1,1,4,2
3,-1,-1,-1,1,4,2
1,1,0,-1,1,4,2
0,1,0,-1,1,4,2
0,1,0,-1,1,4,2
-1,1,1,-1,1,4,2
-1,1,1,-1,1,4,2
-1,1,1,-1,1,4,2
-1,1,0,1,1,4,2
3,-1,-1,-1,1,4,2
3,-1,-1,-1,1,4,2
-1,1,0,1,1,4,2
1,1,-1,-1,1,4,2
-1,1,-1,-1,1,4,2
-1,1,-1,-1,1,4,2
-1,0,-1,-1,1,4,2
3,-1,-1,-1,1,4,2
1,1,0,-1,1,4,2
0,1,0,-1,1,4,2
0,1,0,-1,1,4,2
-1,1,1,-1,1,4,2
-1,1,1,-1,1,4,2
-1,1,1,-1,1,4,2
1,1,0,-1,1,4,3
3,-1,-1,-1,1,4,3
-1,1,0,1,1,4,3
-1,1,-1,-1,1,4,3
-1,0,-1,-1,1,4,4
3,-1,-1,-1,1,4,4
1,1,0,-1,1,4,4
0,1,0,-1,1,4,4
0,1,0,-1,1,4,4
-1,1,1,-1,1,4,4
-1,1,1,-1,1,4,4
-1,1,1,-1,1,4,4
-1,1,-1,-1,1,4,4
-1,0,-1,-1,1,4,4
3,-1,-1,-1,1,4,4
-1,1,-1,-1,1,4,4
-1,1,-1,-1,1,4,4
-1,0,-1,-1,1,4,4
3,-1,-1,-1,1,4,4
1,1,0,-1,1,4,4
0,1,0,-1,1,4,4
0,1,0,-1,1,4,4
1,1,0,-1,1,4,4
-1,1,1,-1,1,4,4
-1,1,1,-1,1,4,4
-1,1,0,1,1,4,4
-1,0,-1,-1,1,4,4
3,-1,-1,-1,1,4,4
-1,1,-1,-1,1,4,4
-1,1,-1,-1,1,4,4
-1,0,-1,-1,1,4,4
3,-1,-1,-1,1,4,4
1,1,0,-1,1,4,4
0,1,0,-1,1,4,4
1,1,0,-1,1,4,4
-1,1,1,-1,1,4,4
-1,1,1,-1,1,4,4
-1,1,1,-1,1,4,4
-1,1,0,1,1,4,4
-1,0,-1,-1,1,4,4
-1,1,-1,-1,1,4,5
-1,1,-1,-1,1,4,5
-1,0,-1,-1,1,4,5
3,-1,-1,-1,1,4,5
1,1,0,-1,1,4,5
0,1,0,-1,1,4,5
0,1,0,-1,1,4,5
-1,1,1,-1,1,4,5
-1,1,1,-1,1,4,5
-1,1,1,-1,1,4,5
-1,1,0,1,1,4,5
-1,0,-1,-1,1,4,5
-1,1,-1,-1,1,4,5
-1,1,-1,-1,1,4,5
-1,0,-1,-1,1,4,5
3,-1,-1,-1,1,4,5
