word,emotion,color,orientation,sentiment,subjectivity,source
damnation,anger,,,negative,strong,emolex
damned,,black,,negative,strong,emolex
damning,,,,negative,strong,opinion
damper,,grey,,negative,,emolex
damsel,,pink,,,,colour
dance,joy,,active,positive,weak,emolex
dandruff,,white,,negative,,emolex
dandy,disgust,,,negative,,emolex
danger,fear,,,negative,weak,emolex
dangerous,fear,red,,negative,weak,emolex
dangerousness,,,,negative,strong,opinion
dangle,,,,negative,strong,mpqa
dank,disgust,,,,,emolex
danke,,,,positive,,opinion
danken,,,,positive,,opinion
dare,anticipation,red,,positive,strong,emolex
daring,,yellow,,positive,strong,emolex
daringly,,,,positive,strong,opinion
dark,sadness,black,,negative,weak,emolex
darken,fear,black,,negative,weak,emolex
darkened,fear,black,,negative,,emolex
darker,,,,negative,,opinion
darkly,,black,,,,colour
darkness,anger,black,,negative,weak,emolex
darling,joy,pink,,positive,strong,emolex
darn,,,,negative,strong,mpqa
dart,fear,red,,,,emolex
dash,,,active,negative,weak,mpqa
dashed,anger,yellow,,negative,,emolex
dashing,,,,positive,strong,emolex
dastard,,,,negative,strong,opinion
dastardly,anger,black,,negative,strong,emolex
daughter,joy,pink,,positive,,emolex
daunt,,,,negative,strong,opinion
daunting,,,,negative,strong,opinion
dauntingly,,,,negative,strong,opinion
dauntless,,,,positive,strong,opinion
dawdle,,,active,negative,strong,opinion
dawn,anticipation,yellow,,positive,weak,emolex
day,,yellow,,,,colour
daybreak,,yellow,,,,colour
daydream,,,,positive,strong,mpqa
daydreamer,,,,positive,strong,mpqa
daze,,yellow,,negative,strong,opinion
dazed,,,,negative,strong,emolex
dazzle,,,active,positive,strong,opinion
dazzled,,,,positive,strong,opinion
dazzling,,yellow,,positive,strong,opinion
deacon,trust,white,,,,emolex
deactivate,,grey,,negative,,emolex
dead,,,passive,negative,weak,opinion
dead-cheap,,,,positive,,opinion
dead-on,,,,positive,,opinion
deadbeat,,,,negative,strong,opinion
deadlock,,black,,negative,strong,emolex
deadly,anger,black,,negative,weak,emolex
deadweight,,,,negative,strong,opinion
deaf,,,,negative,weak,emolex
deal,anticipation,green,active,positive,weak,emolex
dealing,,green,,,,colour
dealings,trust,,,,,emolex
dear,,pink,,positive,strong,emolex
dearth,,brown,passive,negative,strong,opinion
death,anger,black,passive,negative,weak,emolex
debacle,fear,black,,negative,strong,emolex
debase,,,,negative,strong,opinion
debasement,,,,negative,strong,opinion
debaser,,,,negative,strong,opinion
debatable,,,,negative,strong,opinion
debate,,,active,positive,strong,emolex
debauch,,,,negative,strong,opinion
debaucher,,,,negative,strong,opinion
debauchery,disgust,,,negative,strong,emolex
debenture,anticipation,green,,,,emolex
debilitate,,,,negative,weak,opinion
debilitating,,,,negative,weak,opinion
debility,,,,negative,weak,opinion
debris,disgust,brown,,negative,,emolex
debt,sadness,red,,negative,,emolex
debtor,,,,negative,,emolex
debts,,,,negative,,opinion
decade,,black,,,,colour
decadence,,,,negative,strong,opinion
decadent,,,,negative,strong,opinion
decay,fear,black,passive,negative,strong,emolex
decayed,disgust,black,,negative,strong,emolex
decease,,,active,,,inquirer
deceased,sadness,black,,negative,,emolex
deceit,anger,black,,negative,strong,emolex
deceitful,disgust,,,negative,strong,emolex
deceitfully,,,,negative,strong,opinion
deceitfulness,,,,negative,strong,opinion
deceive,anger,black,active,negative,strong,emolex
deceived,anger,,,negative,,emolex
deceiver,,,,negative,strong,opinion
deceivers,,,,negative,strong,opinion
deceiving,trust,,,negative,strong,emolex
decency,,,,positive,weak,emolex
decent,,white,,positive,weak,emolex
deception,,,active,negative,strong,emolex
deceptive,,,,negative,strong,emolex
deceptively,,,,negative,strong,opinion
decide,,,active,,weak,mpqa
deciduous,,green,,,,colour
decimal,,black,,,,colour
decipher,,,active,positive,,inquirer
decision,,,active,,,inquirer
decisive,,,active,positive,weak,opinion
decisiveness,,,,positive,weak,opinion
declaim,,,,negative,strong,opinion
declaration,,white,,,,colour
declaratory,,,,positive,,emolex
declare,,grey,,,,colour
declination,,,,negative,,emolex
decline,,,passive,negative,weak,emolex
declines,,,,negative,,opinion
declining,,grey,,negative,weak,emolex
decompose,disgust,brown,passive,,,emolex
decomposed,sadness,,,,,emolex
decomposition,disgust,brown,,negative,,emolex
decorate,,,active,positive,,inquirer
decoration,,,,positive,,inquirer
decorative,,,,positive,,inquirer
decoy,surprise,grey,,,,emolex
decrease,,grey,passive,negative,weak,emolex
decreasing,,,,negative,weak,mpqa
decree,,white,,,,colour
decrement,,blue,,negative,weak,emolex
decrepit,,brown,,negative,strong,emolex
decrepitude,,,,negative,strong,opinion
decry,anger,,,negative,strong,emolex
dedicate,,,,positive,,inquirer
dedicated,,,,positive,strong,opinion
dedication,,green,,positive,,emolex
deduce,,,active,positive,strong,mpqa
deduct,,green,active,negative,,emolex
deed,trust,grey,,,,emolex
deem,,,passive,,,inquirer
deep,,,,negative,weak,mpqa
deepen,,black,active,,,inquirer
deepening,,,,negative,strong,mpqa
deeply,,,,,strong,mpqa
defamation,disgust,,,negative,strong,emolex
defamations,,,,negative,strong,opinion
defamatory,anger,,,negative,strong,emolex
defame,,,active,negative,strong,opinion
default,disgust,,active,negative,,emolex
defeat,,,active,negative,weak,emolex
defeated,sadness,,,negative,,emolex
defeating,,,,positive,,opinion
defeats,,,,positive,,opinion
defect,anger,,,negative,weak,emolex
defection,fear,,,negative,,emolex
defective,disgust,black,,negative,strong,emolex
defects,,,,negative,,opinion
defend,fear,,active,positive,weak,emolex
defendant,anger,,,,,emolex
defended,trust,,,positive,,emolex
defender,trust,,active,positive,strong,emolex
defending,,,,positive,,emolex
defense,anger,brown,active,positive,weak,emolex
defenseless,fear,black,,negative,,emolex
defensive,,,passive,negative,weak,opinion
defer,,,passive,,,inquirer
deference,trust,,,positive,strong,emolex
deferral,,,,negative,,emolex
defiance,anger,grey,,negative,strong,emolex
defiant,anger,,,negative,strong,emolex
defiantly,,,,negative,strong,opinion
deficiencies,,,,negative,,opinion
deficiency,,,,negative,weak,emolex
deficient,,,,negative,weak,opinion
deficit,,,,negative,,emolex
defile,,,active,negative,strong,opinion
defiler,,,,negative,strong,opinion
define,,black,,,,colour
definite,,,,positive,weak,mpqa
definitely,,,,positive,weak,mpqa
definition,,black,,,,colour
definitive,trust,,,positive,weak,emolex
definitively,,,,positive,strong,mpqa
deflate,anger,,,negative,,emolex
deflation,fear,,,negative,,emolex
deflationary,,,,positive,weak,mpqa
deflect,,grey,,,,colour
deflection,,blue,,,,colour
deform,disgust,brown,,negative,weak,emolex
deformed,disgust,,,negative,weak,emolex
deformity,disgust,,,negative,,emolex
defraud,anger,,,negative,,emolex
defrauding,,,,negative,strong,opinion
deft,,purple,,positive,strong,opinion
defunct,sadness,,,negative,strong,emolex
defy,anger,,active,negative,strong,emolex
degeneracy,anger,,,negative,,emolex
degenerate,,red,passive,negative,strong,emolex
degenerately,,,,negative,strong,opinion
degeneration,,,,negative,strong,opinion
deginified,,,,positive,,opinion
degradation,,grey,,negative,strong,emolex
degrade,disgust,,active,negative,strong,emolex
degrading,disgust,blue,,negative,strong,emolex
degradingly,,,,negative,strong,opinion
degree,,,,positive,,emolex
dehumanization,,,,negative,strong,opinion
dehumanize,,,,negative,strong,opinion
dehydrated,,brown,,,,colour
deign,,,,negative,strong,opinion
deject,,,,negative,strong,opinion
dejected,,,,negative,strong,opinion
dejectedly,,,,negative,strong,opinion
dejection,,,,negative,strong,opinion
delay,anger,,passive,negative,,emolex
delayed,,,,negative,,emolex
delaying,,,,negative,,opinion
delays,,,,negative,,opinion
delectable,,,,positive,strong,emolex
delegate,trust,grey,,positive,,emolex
delegation,,brown,,,,colour
deleterious,anger,black,,negative,,emolex
deletion,,,,negative,,emolex
deliberate,,grey,active,positive,,emolex
deliberation,,black,,,,colour
delicacy,,pink,,positive,weak,opinion
delicate,,,,positive,weak,opinion
delicious,joy,,,positive,strong,emolex
delight,anticipation,yellow,,positive,strong,emolex
delighted,anticipation,orange,,positive,strong,emolex
delightful,anticipation,pink,,positive,strong,emolex
delightfully,,,,positive,strong,opinion
delightfulness,,,,positive,strong,opinion
delinquency,,,,negative,weak,emolex
delinquent,anger,,,negative,weak,emolex
delirious,sadness,,,negative,strong,emolex
delirium,disgust,,,negative,strong,emolex
deliver,,,active,,,inquirer
deliverance,anticipation,white,,positive,,emolex
delivery,anticipation,brown,active,positive,,emolex
dell,,green,,,,colour
delude,,,,negative,strong,opinion
deluded,,,,negative,strong,opinion
deluge,fear,blue,,negative,weak,emolex
delusion,anger,,,negative,strong,emolex
delusional,anger,orange,,negative,strong,emolex
delusions,,,,negative,strong,opinion
delve,,brown,,,,colour
demand,anger,red,active,negative,weak,emolex
demanding,,,,negative,,emolex
demands,,,,,weak,mpqa
demean,,,active,negative,strong,opinion
demeaning,,,,negative,strong,opinion
demeanor,,blue,,,,colour
demented,fear,,,negative,,emolex
dementia,fear,,,negative,,emolex
demise,fear,black,passive,negative,strong,emolex
democracy,,,,positive,,emolex
democratic,,,,positive,weak,mpqa
demolish,anger,black,active,negative,weak,emolex
demolisher,,,,negative,weak,opinion
demolition,,black,,negative,,emolex
demon,anger,black,,negative,strong,emolex
demonic,anger,red,,negative,strong,emolex
demonize,,,,negative,strong,opinion
demonized,,,,negative,,opinion
demonizes,,,,negative,,opinion
demonizing,,,,negative,,opinion
demonstrable,,,,positive,,emolex
demonstrate,,,active,,,inquirer
demonstrated,,green,,,,colour
demonstration,,yellow,active,,,inquirer
demonstrative,joy,,,positive,,emolex
demoralize,,,,negative,strong,opinion
demoralized,fear,,,negative,,emolex
demoralizing,,,,negative,strong,opinion
demoralizingly,,,,negative,strong,opinion
demystify,,,,positive,strong,mpqa
den,,brown,,,,colour
denial,,,,negative,strong,emolex
denied,sadness,,,negative,,emolex
denies,,,,negative,,opinion
denigrate,,,,negative,strong,opinion
denominational,,white,,,,colour
denounce,anger,black,active,negative,strong,emolex
dense,,,,negative,,opinion
dent,,,active,negative,,opinion
dented,,,,negative,,opinion
dentistry,fear,,,,,emolex
dents,,,,negative,,opinion
denunciate,,,,negative,strong,opinion
denunciation,anger,black,,negative,strong,emolex
denunciations,,,,negative,strong,opinion
deny,anger,black,,negative,strong,emolex
denying,anticipation,,,negative,,emolex
depart,anticipation,,active,,,emolex
departed,sadness,black,,negative,,emolex
departure,sadness,grey,active,negative,,emolex
depend,anticipation,brown,passive,,,emolex
dependability,,,,positive,,inquirer
dependable,,,,positive,weak,opinion
dependably,,,,positive,,opinion
dependence,fear,,passive,negative,,emolex
dependency,,,,negative,,emolex
dependent,trust,brown,passive,negative,weak,emolex
deplete,,,,negative,weak,opinion
depletion,,black,,,,colour
deplorable,anger,black,,negative,strong,emolex
deplorably,,,,negative,strong,opinion
deplore,anger,black,passive,negative,strong,emolex
deploring,,,,negative,strong,opinion
deploringly,,,,negative,strong,opinion
deploy,,,active,,,inquirer
deport,fear,,,negative,,emolex
deportation,anger,black,,negative,,emolex
depose,,,active,,,inquirer
deposit,,brown,,,,colour
deposition,,,active,,,inquirer
depository,trust,,,,,emolex
deprave,,,,negative,strong,opinion
depraved,anger,,,negative,strong,emolex
depravedly,,,,negative,strong,opinion
depravity,anger,black,,negative,,emolex
deprecate,,,,negative,strong,opinion
depreciate,anger,,passive,negative,,emolex
depreciated,anger,,,negative,,emolex
depreciation,fear,,passive,negative,,emolex
depress,fear,,passive,negative,weak,emolex
depressed,anger,blue,,negative,strong,emolex
depressing,disgust,,,negative,strong,emolex
depressingly,,,,negative,strong,opinion
depression,sadness,black,,negative,weak,emolex
depressions,,,,negative,,opinion
depressive,sadness,grey,,negative,,emolex
deprivation,anger,,,negative,,emolex
deprive,,,active,negative,strong,opinion
deprived,,,,negative,strong,opinion
depth,trust,,,positive,,emolex
deputy,trust,,,,,emolex
deranged,anger,black,,negative,,emolex
derelict,,,,negative,,emolex
deride,,,active,negative,strong,opinion
derision,anger,,,negative,strong,emolex
derisive,,,,negative,strong,opinion
derisively,,,,negative,strong,opinion
derisiveness,,,,negative,strong,opinion
derivation,,grey,,,,colour
derivative,,grey,,,,colour
derive,,,active,,,inquirer
dermal,,white,,,,colour
dermatologist,trust,,,,,emolex
derogation,anger,grey,,negative,,emolex
derogatory,anger,black,,negative,strong,emolex
descending,,grey,,,,colour
descent,fear,black,,,,emolex
describe,,grey,,,,colour
descriptive,,,,positive,,emolex
descry,,,active,positive,,inquirer
desecrate,,,,negative,strong,opinion
desecration,anger,black,,negative,,emolex
desert,anger,,passive,negative,strong,emolex
deserted,anger,,,negative,,emolex
desertion,,,,negative,strong,emolex
deserve,anger,,,positive,strong,emolex
deserved,,,,positive,strong,emolex
deservedly,,,,positive,strong,opinion
deserving,,,,positive,strong,opinion
desiccate,,,,negative,strong,opinion
desiccated,,,,negative,strong,opinion
design,,,active,,,inquirer
designate,,,active,,,inquirer
designation,trust,,,,,emolex
designer,,,,positive,,emolex
desirability,,pink,,,,colour
desirable,,red,,positive,strong,emolex
desire,,,passive,positive,strong,mpqa
desiring,,,,positive,,emolex
desirous,,,,positive,strong,emolex
desist,anger,,,negative,,emolex
desititute,,,,negative,,opinion
desk,,brown,,,,colour
desolate,,,,negative,strong,opinion
desolately,,,,negative,strong,opinion
desolation,fear,black,,negative,strong,emolex
despair,anger,black,passive,negative,strong,emolex
despairing,fear,,,negative,strong,emolex
despairingly,,,,negative,strong,opinion
desperate,,,,negative,strong,emolex
desperately,,,,negative,strong,opinion
desperation,,,,negative,strong,opinion
despicable,anger,black,,negative,strong,emolex
despicably,,,,negative,strong,opinion
despise,anger,red,,negative,strong,emolex
despised,,,,negative,strong,opinion
despite,,,,negative,strong,mpqa
despoil,,,,negative,strong,opinion
despoiler,,,,negative,strong,opinion
despondence,,,,negative,strong,opinion
despondency,,,,negative,strong,opinion
despondent,,,,negative,strong,opinion
despondently,,,,negative,strong,opinion
despot,,,,negative,strong,opinion
despotic,fear,black,,negative,strong,emolex
despotism,anger,black,,negative,strong,emolex
destabilisation,,,,negative,strong,opinion
destains,,,,negative,,opinion
destination,anticipation,,,positive,,emolex
destine,,,,positive,weak,mpqa
destined,anticipation,,,positive,weak,emolex
destinies,,,,positive,strong,mpqa
destiny,,,,positive,strong,opinion
destitute,fear,,,negative,strong,emolex
destitution,,,,negative,strong,opinion
destroy,,,active,negative,weak,opinion
destroyed,anger,black,,negative,,emolex
destroyer,anger,,,negative,strong,emolex
destroying,anger,black,,negative,,emolex
destruction,anger,black,active,negative,weak,emolex
destructive,anger,,active,negative,strong,emolex
desultory,,,,negative,strong,opinion
detachable,,,,positive,,opinion
detachment,,black,,negative,,emolex
detail,,black,,,,colour
detain,,,active,negative,,emolex
detainee,anger,,,negative,,emolex
detect,,,active,positive,,emolex
detection,,,active,positive,,emolex
detective,,blue,active,,,inquirer
detention,sadness,,,negative,,emolex
deter,,,active,negative,weak,opinion
detergent,,white,,,,colour
deteriorate,fear,,,negative,weak,emolex
deteriorated,disgust,black,,negative,,emolex
deteriorating,,,,negative,weak,opinion
deterioration,anger,,,negative,weak,emolex
determinable,,red,,,,colour
determinate,anticipation,blue,,,,emolex
determination,trust,,active,positive,strong,emolex
determine,,,active,,,inquirer
determined,,,,positive,,emolex
deterrent,,,,negative,weak,opinion
detest,anger,black,active,negative,strong,emolex
detestable,,,,negative,strong,opinion
detestably,,,,negative,strong,opinion
detested,,,,negative,,opinion
detesting,,,,negative,,opinion
detests,,,,negative,,opinion
detonate,fear,red,,negative,,emolex
detonation,anger,red,,,,emolex
detour,,grey,,,,colour
detract,anger,,active,negative,weak,emolex
detracted,,,,negative,,opinion
detracting,,,,negative,,opinion
detraction,,,,negative,weak,opinion
detracts,,,,negative,,opinion
detriment,,,,negative,strong,emolex
detrimental,,,,negative,strong,emolex
detritus,,brown,,negative,,emolex
devastate,anger,black,active,negative,strong,emolex
devastated,,,,negative,strong,opinion
devastates,,,,negative,,opinion
devastating,anger,black,,negative,strong,emolex
devastatingly,,,,negative,strong,opinion
devastation,anger,black,,negative,weak,emolex
develop,anticipation,,active,positive,,emolex
development,,,active,,,inquirer
deviate,,grey,active,negative,weak,opinion
deviation,sadness,orange,,negative,weak,emolex
devil,anger,red,,negative,strong,emolex
devilish,disgust,red,,negative,strong,emolex
devilishly,,,,negative,strong,opinion
devilment,,,,negative,strong,opinion
devilry,,,,negative,strong,opinion
devious,,,,negative,strong,emolex
deviously,,,,negative,strong,opinion
deviousness,,,,negative,strong,opinion
devise,,black,,,,colour
devoid,,,,negative,strong,opinion
devolution,,,,negative,,emolex
devote,,,active,positive,strong,mpqa
devoted,,,,positive,strong,mpqa
devotee,,,,positive,strong,mpqa
devotion,,,passive,positive,strong,mpqa
devotional,trust,white,,positive,,emolex
devour,,,,negative,,emolex
devout,anticipation,white,,positive,weak,emolex
dew,,white,,,,colour
dexterity,,,,positive,weak,emolex
dexterous,,,,positive,strong,opinion
dexterously,,,,positive,strong,opinion
dextrose,,white,,,,colour
dextrous,,,,positive,strong,opinion
diabolic,,,,negative,strong,opinion
diabolical,anger,black,,negative,strong,emolex
diabolically,,,,negative,strong,opinion
diagnosis,anticipation,red,,negative,,emolex
diametrically,,,,negative,strong,opinion
diamond,joy,white,,positive,,emolex
diamonds,,white,,,,colour
diaper,disgust,white,,,,emolex
diaphragm,,pink,,,,colour
diappointed,,,,negative,,opinion
diarrhoea,disgust,brown,,,,emolex
diary,joy,pink,,positive,,emolex
diatribe,anger,,,negative,strong,emolex
diatribes,,,,negative,strong,opinion
dice,,white,,,,colour
dichotomy,,brown,,,,colour
dick,,,,negative,,opinion
dictate,,,active,,,inquirer
dictator,fear,,,negative,weak,emolex
dictatorial,anger,,active,negative,weak,emolex
dictatorship,anger,black,,negative,,emolex
diction,,white,,,,colour
dictionary,trust,white,,positive,,emolex
dictum,trust,yellow,,,,emolex
didactic,,,,positive,,emolex
die,fear,,,negative,,emolex
die-hard,,,,negative,,opinion
died,,,,negative,,opinion
dies,,,,negative,,opinion
diet,,green,,,,colour
dietary,anticipation,blue,,positive,,emolex
differ,,black,active,negative,weak,mpqa
difference,,,,,weak,mpqa
differential,trust,,,,,emolex
differentiation,,grey,,,,colour
differently,surprise,,,,,emolex
difficult,fear,,,negative,weak,emolex
difficulties,sadness,grey,,negative,weak,emolex
difficulty,anger,,,negative,strong,emolex
diffidence,,,,negative,strong,opinion
dig,,brown,active,negative,weak,mpqa
digest,,orange,,,,colour
digit,trust,,,,,emolex
dignified,,,,positive,strong,emolex
dignify,,,active,positive,weak,opinion
dignity,trust,blue,,positive,strong,emolex
digress,anticipation,,,negative,strong,emolex
dike,fear,brown,,,,emolex
dilapidated,disgust,grey,,negative,strong,emolex
dilation,,black,,,,colour
dilemma,,,,negative,weak,opinion
diligence,trust,purple,,positive,weak,emolex
diligent,,,active,positive,weak,opinion
diligently,,,,positive,weak,opinion
dilly-dally,,,,negative,strong,opinion
dilute,,,,negative,,emolex
diluted,,white,,,,colour
dilution,,grey,,,,colour
dim,,,,negative,strong,opinion
diminish,sadness,,passive,negative,weak,emolex
diminished,,,,negative,,emolex
diminishing,,,,negative,weak,mpqa
diminutive,,pink,,,,colour
dimmer,,,,negative,,opinion
din,,,,negative,weak,emolex
ding,,,,negative,,opinion
dings,,,,negative,,opinion
dinky,,,,negative,weak,opinion
dinner,,,,positive,,emolex
dinosaur,fear,green,,,,emolex
dip,,blue,active,,,inquirer
diplomacy,anticipation,blue,,positive,weak,emolex
diplomatic,trust,,,positive,weak,emolex
dire,disgust,black,,negative,strong,emolex
direct,,,active,,weak,mpqa
director,trust,,,positive,,emolex
direly,,,,negative,strong,opinion
direness,,,,negative,strong,opinion
dirt,disgust,brown,,negative,weak,emolex
dirt-cheap,,,,positive,,opinion
dirtbag,,,,negative,,opinion
dirtbags,,,,negative,,opinion
dirts,,,,negative,,opinion
dirty,disgust,brown,,negative,weak,emolex
disability,sadness,,,negative,,emolex
disable,fear,,active,negative,weak,emolex
disabled,fear,,,negative,weak,emolex
disaccord,,,,negative,strong,opinion
disadvantage,,,,negative,strong,opinion
disadvantaged,,,,negative,weak,opinion
disadvantageous,,,,negative,strong,opinion
disadvantages,,,,negative,,opinion
disaffect,,,,negative,strong,opinion
disaffected,,,,negative,strong,emolex
disaffirm,,,,negative,strong,opinion
disagree,anger,,,negative,strong,emolex
disagreeable,,,,negative,strong,opinion
disagreeably,,,,negative,strong,opinion
disagreed,,,,negative,,opinion
disagreeing,anger,,,negative,,emolex
disagreement,anger,grey,,negative,strong,emolex
disagrees,,,,negative,,opinion
disallow,,,,negative,strong,opinion
disallowed,anger,,,negative,,emolex
disapointed,,,,negative,,opinion
disapointing,,,,negative,,opinion
disapointment,,,,negative,,opinion
disappear,fear,,passive,,,emolex
disappearance,,,passive,,,inquirer
disappoint,anger,,passive,negative,strong,emolex
disappointed,anger,black,,negative,strong,emolex
disappointing,sadness,grey,,negative,strong,emolex
disappointingly,,,,negative,strong,opinion
disappointment,disgust,black,passive,negative,strong,emolex
disappointments,,,,negative,,opinion
disappoints,,,,negative,,opinion
disapprobation,,,,negative,strong,opinion
disapproval,sadness,,,negative,strong,emolex
disapprove,anger,,,negative,strong,emolex
disapproved,anger,black,,negative,,emolex
disapproving,anger,black,,negative,strong,emolex
disarm,,,active,negative,weak,opinion
disarmament,,,active,,,inquirer
disarray,,,,negative,strong,opinion
disaster,anger,,,negative,strong,emolex
disasterous,,,,negative,,opinion
disastrous,anger,black,,negative,strong,emolex
disastrously,,,,negative,strong,opinion
disavow,,,,negative,strong,opinion
disavowal,,,,negative,strong,opinion
disbelief,,,,negative,strong,opinion
disbelieve,,,,negative,strong,emolex
disbeliever,,,,negative,strong,opinion
disburse,,green,,,,colour
disbursement,,green,,,,colour
disc,,grey,,,,colour
discard,,,active,,,inquirer
discards,,,,negative,,emolex
discern,,,active,positive,strong,mpqa
discernible,,,passive,,,inquirer
discerning,,,,positive,strong,mpqa
discharge,,,active,negative,,emolex
disciple,trust,,passive,,,emolex
discipline,fear,,active,negative,,emolex
disclaim,anger,,,negative,strong,emolex
disclaimer,,black,,,,colour
disclose,,grey,,,,colour
disclosed,trust,,,,,emolex
discoloration,disgust,,,negative,,emolex
discolored,disgust,yellow,,negative,,emolex
discombobulate,,,,negative,strong,opinion
discomfit,,,,negative,strong,opinion
discomfititure,,,,negative,strong,opinion
discomfort,sadness,,,negative,weak,emolex
discompose,,,,negative,weak,opinion
disconcert,,,,negative,strong,opinion
disconcerted,,,passive,negative,strong,opinion
disconcerting,,,,negative,strong,opinion
disconcertingly,,,,negative,strong,opinion
disconnect,sadness,black,,negative,,emolex
disconnected,sadness,,,negative,,emolex
disconnection,,,,negative,,emolex
disconsolate,,,,negative,strong,opinion
disconsolately,,,,negative,strong,opinion
disconsolation,,,,negative,strong,opinion
discontent,anger,,passive,negative,strong,emolex
discontented,,,,negative,strong,opinion
discontentedly,,,,negative,strong,opinion
discontinue,,red,,negative,,emolex
discontinued,,,,negative,,opinion
discontinuity,disgust,grey,,negative,strong,emolex
discontinuous,,,,negative,,opinion
discord,anger,black,,negative,strong,emolex
discordance,,,,negative,strong,opinion
discordant,,,,negative,strong,opinion
discount,,green,passive,,,inquirer
discountenance,,,,negative,strong,opinion
discourage,fear,,passive,negative,strong,emolex
discouraged,,grey,,,,colour
discouragement,,,,negative,strong,emolex
discouraging,,,,negative,strong,opinion
discouragingly,,,,negative,strong,opinion
discourteous,,,,negative,strong,opinion
discourteously,,,,negative,strong,opinion
discoutinous,,,,negative,,opinion
discover,,orange,,,,colour
discovery,,,,positive,,emolex
discredit,,,active,negative,strong,emolex
discreet,anticipation,,,positive,weak,emolex
discrepant,,,,negative,weak,opinion
discrete,,white,,,,colour
discretion,anticipation,green,,positive,weak,emolex
discretionary,,green,,positive,,emolex
discriminate,anger,,active,negative,weak,emolex
discriminating,disgust,white,,negative,weak,emolex
discriminatingly,,,,positive,weak,mpqa
discrimination,anger,black,,negative,weak,emolex
discriminatory,,,,negative,strong,opinion
discuss,,,,positive,,inquirer
discussion,,,,positive,,emolex
disdain,anger,,,negative,strong,emolex
disdained,,,,negative,,opinion
disdainful,,,,negative,strong,opinion
disdainfully,,,,negative,strong,opinion
disease,anger,black,,negative,weak,emolex
diseased,disgust,black,,negative,weak,emolex
disembodied,fear,,,negative,,emolex
disengagement,,,,negative,,emolex
disfavor,,,,negative,strong,opinion
disfigured,anger,red,,negative,,emolex
disgrace,anger,,,negative,strong,emolex
disgraced,anger,,,negative,strong,emolex
disgraceful,anger,brown,,negative,strong,emolex
disgracefully,,,,negative,strong,opinion
disgruntle,,,,negative,strong,opinion
disgruntled,anger,,,negative,strong,emolex
disguise,,black,,,,colour
disgust,anger,black,passive,negative,strong,emolex
disgusted,,,,negative,strong,opinion
disgustedly,,,,negative,strong,opinion
disgustful,,,,negative,strong,opinion
disgustfully,,,,negative,strong,opinion
disgusting,anger,,,negative,strong,emolex
disgustingly,,,,negative,strong,opinion
dish,,white,,,,colour
dishearten,,,,negative,strong,opinion
disheartened,sadness,,,negative,,emolex
disheartening,sadness,,,negative,strong,emolex
dishearteningly,,,,negative,strong,opinion
dishonest,anger,,,negative,strong,emolex
dishonestly,,,,negative,strong,opinion
dishonesty,disgust,black,,negative,strong,emolex
dishonor,anger,black,active,negative,strong,emolex
dishonorable,,,,negative,strong,opinion
dishonorablely,,,,negative,strong,opinion
disillusion,,,,negative,strong,opinion
disillusioned,,,,negative,strong,opinion
disillusionment,anger,brown,,negative,,emolex
disillusions,,,,negative,,opinion
disinclination,,,,negative,strong,opinion
disinclined,,,,negative,strong,opinion
disinfectant,,white,,,,colour
disinfection,,,,positive,,emolex
disinformation,anger,yellow,,negative,,emolex
disingenuous,disgust,black,,negative,strong,emolex
disingenuously,,,,negative,strong,opinion
disintegrate,disgust,white,,negative,weak,emolex
disintegrated,,,,negative,,opinion
disintegrates,,,,negative,,opinion
disintegration,,grey,,negative,weak,emolex
disinterest,,,,negative,strong,opinion
disinterested,,,,negative,weak,emolex
disk,,white,,,,colour
diskette,,black,,,,colour
dislike,anger,black,passive,negative,strong,emolex
disliked,anger,,,negative,,emolex
dislikes,,,,negative,,opinion
disliking,,,,negative,,opinion
dislocated,anger,,,negative,weak,emolex
disloyal,,,,negative,strong,opinion
disloyalty,,,,negative,strong,opinion
dismal,disgust,,,negative,strong,emolex
dismally,,,,negative,strong,opinion
dismalness,,,,negative,strong,opinion
dismay,anger,,,negative,strong,emolex
dismayed,,,,negative,strong,opinion
dismaying,,,,negative,strong,opinion
dismayingly,,,,negative,strong,opinion
dismemberment,disgust,,,negative,,emolex
dismiss,,black,active,,,inquirer
dismissal,anger,grey,,negative,,emolex
dismissive,,,,negative,strong,opinion
dismissively,,,,negative,strong,opinion
disobedience,anger,black,,negative,strong,emolex
disobedient,anger,,,negative,strong,emolex
disobey,anger,,,negative,strong,emolex
disoobedient,,,,negative,,opinion
disorder,fear,,,negative,weak,emolex
disordered,,,,negative,weak,opinion
disorderly,,grey,,negative,weak,emolex
disorganized,,,passive,negative,strong,emolex
disorient,,,,negative,strong,opinion
disoriented,,,,negative,strong,opinion
disown,,,,negative,strong,opinion
disparage,anger,,,negative,strong,emolex
disparaging,anger,black,,negative,strong,emolex
disparagingly,,,,negative,strong,opinion
disparate,,purple,,,,colour
disparity,anger,,,negative,,emolex
dispassionate,sadness,,,negative,,emolex
dispel,sadness,,active,negative,,emolex
dispensable,,,,negative,weak,opinion
dispense,,brown,active,,,inquirer
disperse,,grey,active,,,inquirer
dispersed,,orange,,,,colour
dispersion,,,,negative,,emolex
dispirit,,,,negative,strong,opinion
dispirited,,,,negative,strong,opinion
dispiritedly,,,,negative,strong,opinion
dispiriting,,,,negative,strong,opinion
displace,,,active,negative,weak,emolex
displaced,anger,grey,,negative,weak,emolex
displacement,,grey,active,,,inquirer
